Acinetobacter_baumannii	GCF_900010465.1_BAL_062_Assembly_genomic
Acinetobacter_baumannii	GCF_900011275.1_BAL_255_assembly_genomic
Acinetobacter_baumannii	GCF_900011285.1_BAL_266_Assembly_genomic
Acinetobacter_baumannii	GCF_900011295.1_ATCC19606_assembly_genomic
Acinetobacter_baumannii	GCF_900011305.1_BAL_062_assembly_genomic
Acinetobacter_baumannii	GCF_900019965.1_acinetobacter_baumannii_isolate_strainD_genomic
Acinetobacter_baumannii	GCF_900019975.1_acinetobacter_baumannii_isolate_strainE_genomic
Acinetobacter_baumannii	GCF_900020545.1_acinetobacter_baumannii_isolate_strainB_genomic
Acinetobacter_baumannii	GCF_900029355.1_acinetobacter_baumannii_isolate_strainF_genomic
Acinetobacter_baumannii	GCF_900029365.1_acinetobacter_baumannii_isolate_strainL_genomic
Acinetobacter_baumannii	GCF_900029375.1_acinetobacter_baumannii_isolate_strainI_genomic
Acinetobacter_baumannii	GCF_900031715.1_acinetobacter_baumannii_isolate_strainC_genomic
Acinetobacter_baumannii	GCF_900042755.1_acinetobacter_baumannii_isolate_strainG_genomic
Acinetobacter_baumannii	GCF_900043985.1_acinetobacter_baumannii_isolate_strainJ_genomic
Acinetobacter_baumannii	GCF_900043995.1_acinetobacter_baumannii_isolate_strainK_genomic
Acinetobacter_baumannii	GCF_900067075.1_acinetobacter_baumannii_isolate_strainM_genomic
Acinetobacter_baumannii	GCF_900117405.1_ABE12_M_genomic
Acinetobacter_baumannii	GCF_900117475.1_7468_1_5_genomic
Acinetobacter_baumannii	GCF_900117485.1_7468_1_38_genomic
Acinetobacter_baumannii	GCF_900117495.1_7468_1_43_genomic
Acinetobacter_baumannii	GCF_900117505.1_7468_1_21_genomic
Acinetobacter_baumannii	GCF_900117515.1_7468_1_1_genomic
Acinetobacter_baumannii	GCF_900117525.1_7468_1_36_genomic
Acinetobacter_baumannii	GCF_900117535.1_7468_1_31_genomic
Acinetobacter_baumannii	GCF_900117545.1_7468_1_30_genomic
Acinetobacter_baumannii	GCF_900117555.1_7468_1_20_genomic
Acinetobacter_baumannii	GCF_900117565.1_7468_1_41_genomic
Acinetobacter_baumannii	GCF_900117575.1_7468_1_37_genomic
Acinetobacter_baumannii	GCF_900117585.1_7468_1_2_genomic
Acinetobacter_baumannii	GCF_900117595.1_7468_1_24_genomic
Acinetobacter_baumannii	GCF_900117605.1_7468_1_25_genomic
Acinetobacter_baumannii	GCF_900117615.1_7468_1_14_genomic
Acinetobacter_baumannii	GCF_900117625.1_7468_1_42_genomic
Acinetobacter_baumannii	GCF_900117635.1_7468_1_47_genomic
Acinetobacter_baumannii	GCF_900117645.1_7468_1_4_genomic
Acinetobacter_baumannii	GCF_900117655.1_7468_1_12_genomic
Acinetobacter_baumannii	GCF_900117665.1_7468_1_15_genomic
Acinetobacter_baumannii	GCF_900117675.1_7468_1_46_genomic
Acinetobacter_baumannii	GCF_900117685.1_7468_1_8_genomic
Acinetobacter_baumannii	GCF_900117695.1_7468_1_28_genomic
Acinetobacter_baumannii	GCF_900117705.1_7468_1_22_genomic
Acinetobacter_baumannii	GCF_900117715.1_7468_1_34_genomic
Acinetobacter_baumannii	GCF_900117725.1_7468_1_40_genomic
Acinetobacter_baumannii	GCF_900117735.1_7468_1_18_genomic
Acinetobacter_baumannii	GCF_900117745.1_7468_1_17_genomic
Acinetobacter_baumannii	GCF_900117755.1_7468_1_33_genomic
Acinetobacter_baumannii	GCF_900117765.1_7468_1_29_genomic
Acinetobacter_baumannii	GCF_900117775.1_7468_1_23_genomic
Acinetobacter_baumannii	GCF_900117795.1_7468_1_32_genomic
Acinetobacter_baumannii	GCF_900117805.1_7468_1_13_genomic
Acinetobacter_baumannii	GCF_900117815.1_7468_1_6_genomic
Acinetobacter_baumannii	GCF_900117825.1_7468_1_48_genomic
Acinetobacter_baumannii	GCF_900117835.1_7468_1_11_genomic
Acinetobacter_baumannii	GCF_900117845.1_7468_1_27_genomic
Acinetobacter_baumannii	GCF_900117855.1_7468_1_35_genomic
Acinetobacter_baumannii	GCF_900117865.1_7468_1_16_genomic
Acinetobacter_baumannii	GCF_900117875.1_7468_1_19_genomic
Acinetobacter_baumannii	GCF_900117885.1_7468_1_26_genomic
Acinetobacter_baumannii	GCF_900117895.1_7468_1_3_genomic
Acinetobacter_baumannii	GCF_900117905.1_7468_1_39_genomic
Acinetobacter_baumannii	GCF_900117915.1_7468_1_44_genomic
Acinetobacter_baumannii	GCF_900117925.1_7468_1_10_genomic
Acinetobacter_baumannii	GCF_900117935.1_7468_1_9_genomic
Acinetobacter_baumannii	GCF_900117945.1_7468_2_77_genomic
Acinetobacter_baumannii	GCF_900117955.1_7468_2_73_genomic
Acinetobacter_baumannii	GCF_900117965.1_7468_2_80_genomic
Acinetobacter_baumannii	GCF_900117975.1_7468_2_85_genomic
Acinetobacter_baumannii	GCF_900117985.1_7468_2_90_genomic
Acinetobacter_baumannii	GCF_900117995.1_7468_2_87_genomic
Acinetobacter_baumannii	GCF_900118005.1_7468_2_86_genomic
Acinetobacter_baumannii	GCF_900118015.1_7521_8_42_genomic
Acinetobacter_baumannii	GCF_900118025.1_7521_8_29_genomic
Acinetobacter_baumannii	GCF_900118035.1_7468_2_89_genomic
Acinetobacter_baumannii	GCF_900118045.1_9119_6_37_genomic
Acinetobacter_baumannii	GCF_900118055.1_9119_6_86_genomic
Acinetobacter_baumannii	GCF_900118065.1_9119_6_40_genomic
Acinetobacter_baumannii	GCF_900118075.1_9119_6_60_genomic
Acinetobacter_baumannii	GCF_900118085.1_7468_2_94_genomic
Acinetobacter_baumannii	GCF_900118095.1_9119_6_53_genomic
Acinetobacter_baumannii	GCF_900118105.1_7468_2_96_genomic
Acinetobacter_baumannii	GCF_900118115.1_7521_8_44_genomic
Acinetobacter_baumannii	GCF_900118125.1_9119_6_49_genomic
Acinetobacter_baumannii	GCF_900118135.1_7521_8_41_genomic
Acinetobacter_baumannii	GCF_900118145.1_7521_8_30_genomic
Acinetobacter_baumannii	GCF_900118155.1_9119_6_48_genomic
Acinetobacter_baumannii	GCF_900157395.1_H31506_genomic
Acinetobacter_baumannii	GCF_900157405.1_H31499_genomic
Aeromonas_veronii	GCA_000409545.1_PhIn2_genomic
Aeromonas_veronii	GCA_001748325.1_ASM174832v1_genomic
Alteromonas_macleodii	GCA_001626115.1_ASM162611v1_genomic
Alteromonas_macleodii	GCA_001626275.1_ASM162627v1_genomic
Alteromonas_macleodii	GCA_001626315.1_ASM162631v1_genomic
Alteromonas_macleodii	GCA_001626335.1_ASM162633v1_genomic
Alteromonas_macleodii	GCA_001626355.1_ASM162635v1_genomic
Bacillus_anthracis	GCA_002005265.1_ASM200526v1_genomic
Bacillus_thuringiensis	GCA_001517195.1_BR37_genomic
Bacteroides_thetaiotaomicron	GCA_000937835.1_3a5B_assembly_genomic
Bacteroides_thetaiotaomicron	GCA_001049555.1_7330_genomic
Bacteroides_vulgatus	GCA_001913895.1_ASM191389v1_genomic
Bifidobacterium_longum	GCA_000166895.2_ASM16689v2_genomic
Borrelia_burgdorferi	GCA_000501355.1_BorBurgIPT27_genomic
Borrelia_burgdorferi	GCA_000501395.1_BorBurgIPT46_genomic
Borrelia_burgdorferi	GCA_000501415.1_BorBurgIPT48_genomic
Borrelia_burgdorferi	GCA_000501435.1_BorBurgIPT49_genomic
Borrelia_burgdorferi	GCA_000501495.1_BorBurgIPT69_genomic
Borrelia_burgdorferi	GCA_000501515.1_BorBurgIPT70_genomic
Borrelia_burgdorferi	GCA_000501935.1_BorBurgIPT19_genomic
Borrelia_burgdorferi	GCA_000501975.1_BorBurgIPT60_genomic
Borrelia_burgdorferi	GCA_000501995.1_BorBurgIPT71_genomic
Borrelia_burgdorferi	GCA_000502015.1_BorBurgIPT77_genomic
Borrelia_burgdorferi	GCA_000502095.1_BorBurgIPT112_genomic
Borrelia_burgdorferi	GCA_000502115.1_BorBurgIPT125_genomic
Borrelia_garinii	GCA_000500975.1_BorGarIPT90_genomic
Borrelia_garinii	GCA_000500995.1_BorGarIPT91_genomic
Borrelia_garinii	GCA_000501035.1_BorGarIPT95_genomic
Borrelia_garinii	GCA_000501075.1_BorGarIPT98_genomic
Borrelia_garinii	GCA_000501095.1_BorGarIPT99_genomic
Borrelia_garinii	GCA_000501115.1_BorGarIPT101_genomic
Borrelia_garinii	GCA_000501155.1_BorGarIPT115_genomic
Borrelia_garinii	GCA_000501215.1_BorGarIPT133_genomic
Borrelia_garinii	GCA_000501255.1_BorGarIPT136_genomic
Borrelia_garinii	GCA_000501275.1_BorGarIPT140_genomic
Borrelia_garinii	GCA_000501635.1_BorGarIPT86_genomic
Borrelia_garinii	GCA_000501715.1_BorGarIPT107_genomic
Borrelia_garinii	GCA_000501755.1_BorGarIPT113_genomic
Borrelia_garinii	GCA_000501775.1_BorGarIPT114_genomic
Borrelia_garinii	GCA_000501795.1_BorGarIPT117_genomic
Borrelia_garinii	GCA_000501835.1_BorGarIPT126_genomic
Borrelia_garinii	GCA_000501855.1_BorGarIPT128_genomic
Borrelia_garinii	GCA_000501875.1_BorGarIPT129_genomic
Brucella_abortus	GCA_001866335.1_ASM186633v1_genomic
Brucella_melitensis	GCA_000938035.1_Brucella_melitensis_Phil1136_12_genomic
Brucella_melitensis	GCA_000940435.1_Brucella_melitensis_MY1483_09_genomic
Brucella_suis	GCA_000331635.1_Brucella_019_genomic
Burkholderia_pseudomallei	GCA_000401055.1_B.pseudomallei_THE_genomic
Burkholderia_pseudomallei	GCA_000401075.1_B.pseudomallei_OB_genomic
Burkholderia_pseudomallei	GCA_000401115.1_B.pseudomallei_CB_genomic
Burkholderia_pseudomallei	GCA_001905265.1_ASM190526v1_genomic
Campylobacter_coli	GCA_000314325.1_ASM31432v1_genomic
Campylobacter_coli	GCA_000314405.1_ASM31440v1_genomic
Campylobacter_coli	GCA_000314465.1_ASM31446v1_genomic
Campylobacter_coli	GCA_000314485.1_ASM31448v1_genomic
Campylobacter_coli	GCA_001228905.1_7038_3_46_genomic
Campylobacter_jejuni	GCA_001224185.1_7213_3_45_genomic
Campylobacter_jejuni	GCA_001224405.1_7092_1_72_genomic
Campylobacter_jejuni	GCA_001225185.1_7038_3_45_genomic
